ip_address,camera_name
172.20.2.21,oG Modiriat
172.20.2.22,iB Baskul
172.20.2.23,oG Edari
172.20.2.24,iG Edari 1
172.20.2.25,old rakhtkan
172.20.2.26,iG Edari 2
172.20.2.27,oG PTZ Edari
172.20.2.28,oT Divar Koreh 1
172.20.2.29,oC Harasat be Estakhr
172.20.2.30,oA Divar Gate
172.20.2.31,iC Rakhtkan 3
172.20.2.32,oA Entezamat Gate 1
172.20.2.33,oA Entezamat Gate 2
172.20.2.34,oA Entezamat Gate 2.2
172.20.2.35,iA Entezamat 2
172.20.2.36,iA Entezamat 1
172.20.2.37,oC Harasat be Koreh
172.20.2.38,iC Harasat 1
172.20.2.39,iC Harasat 2
172.20.2.40,iC Rakhtkan 2
172.20.2.41,oC Harasat be Gate
172.20.2.42,oA Gate 1
172.20.2.43,iC Rakhtkan 1
172.20.2.44,oA Entezamat Gate 1.1
172.20.2.45,oT PTZ Tower
172.20.2.46,iG Modiriat Salon
172.20.2.47,oB Baskul 2
172.20.2.48,oB Baskul 1
172.20.2.49,iF Anbar Daftar 1
172.20.2.50,iF Anbar Daftar 2
172.20.2.51,iF Anbar 2
172.20.2.52,iF Anbar Mahfoz
172.20.2.53,iF Fanni
172.20.2.54,iF Omran
172.20.2.55,iE Hoteling Anbar
172.20.2.56,iE Hoteling Salon 2
172.20.2.57,oE Hoteling be Koreh
172.20.2.58,oE Resturant
172.20.2.59,oF Anbar Robaz 1
172.20.2.60,oF Anbar
172.20.2.61,iE Ashpazkhane
172.20.2.62,iE Resturant 1
172.20.2.63,iE Resturant 2
172.20.2.64,iE Hoteling Salon 1
172.20.2.65,oG Edari Parking
172.20.2.66,iF Barq
172.20.2.67,iF Tasisat
172.20.2.68,iH Sakht Daftar
172.20.2.69,iF Anbar 4
172.20.2.70,iH Sakht Salon 1
172.20.2.71,oT Cooling
172.20.2.72,oT Manba Havaie
172.20.2.73,iC HSE
172.20.2.74,oF Fanni
172.20.2.75,iH Sakht Salon 2
172.20.2.76,iH Sakht Salon 3
172.20.2.77,oH Sakht Gate 2
172.20.2.78,oH Sakht Gate 1
172.20.2.79,oH Anbar Material
172.20.2.80,oH Anbar Robaz 2
172.20.2.81,oA Anbar Zaieat 2
172.20.2.82,oA Anbar Zaieat 1
172.20.2.83,oA Parking 1
172.20.2.84,oA Parking 2
172.20.2.85,iG Abdarkhane 2
172.20.2.86,oL PTZ Borjnoor
172.20.2.87,oL Borjnoor Sole
172.20.2.88,oL Borjnoor Diavr
172.20.2.89,iF Anbar 1
172.20.2.90,iF Anbar 3
172.20.2.91,iG Abdarkhane 1
172.20.2.92,oG Dakal
172.20.2.93,oS Divar FirePool 1
172.20.2.94,oS Divar Garbi 1
172.20.2.95,oS Divar FirePool 2
172.20.2.96,oS Divar Garbi 2
172.20.2.97,oT Divar Koreh 2
172.20.2.98,iT Regenerator 1
172.20.2.99,iT Regenerator-2
172.20.2.102,oG Edari 2
172.20.2.104,iT Divar Koreh
172.20.2.105,iK GharmKhane 2
172.20.2.106,iK GharmKhane 3
172.20.2.107,iK GharmKhane 4
172.20.2.109,iS Salon Tasisat 1
172.20.2.110,iS Salon Tasisat 2
172.20.2.112,iG Resturant Modiriat
172.20.2.113,oI Batching
172.20.2.114,oI MashinAlat 2
172.20.2.115,oI MashinAlat 1
172.20.2.116,oI Batching Back
172.20.2.117,iL MashinAlat
172.20.2.130,iG Modiriat Pelle
172.20.2.131,iK GharmKhane 1
172.20.2.150,test8MP
